avg_rtt,max_rtt,std_rtt,moving_avg,rtt_change_rate,is_anomaly
3.39,4.71,0.65,3.39,22.47,0
3.21,4.71,0.74,3.21,15.51,0
3.1,4.71,0.79,3.1,8.21,0
3.01,4.71,0.77,3.01,27.23,0
2.86,3.65,0.53,2.86,12.63,0
2.72,3.65,0.52,2.72,33.33,0
2.62,3.65,0.53,2.62,2.8,0
2.76,3.8,0.63,2.76,82.69,0
2.74,3.8,0.6,2.74,9.74,0
2.81,3.87,0.68,2.81,12.83,0
2.82,3.87,0.68,2.82,35.92,0
2.89,3.87,0.63,2.89,13.71,0
3.04,3.87,0.63,3.04,31.56,0
2.93,3.87,0.74,2.93,52.02,0
2.94,3.87,0.74,2.94,85.96,0
2.93,3.87,0.76,2.93,38.97,0
3.06,3.87,0.71,3.06,69.31,0
2.95,3.87,0.67,2.95,21.93,0
3.1,4.95,0.9,3.1,85.39,0
2.96,4.95,0.88,2.96,50.91,0
3.05,4.95,0.87,3.05,40.33,0
3.13,4.95,0.88,3.13,4.69,0
3.18,4.95,0.93,3.18,18.77,0
3.19,4.95,0.92,3.19,56.6,0
3.22,4.95,0.93,3.22,98.37,0
3.26,4.95,0.89,3.26,33.97,0
3.2,4.95,0.89,3.2,18.26,0
3.14,4.95,0.95,3.14,27.37,0
2.86,4.24,0.77,2.86,3.38,0
2.85,4.24,0.77,2.85,10.28,0
2.8,4.24,0.75,2.8,20.34,0
2.8,4.24,0.75,2.8,26.41,0
2.69,3.65,0.6,2.69,12.53,0
2.71,3.65,0.58,2.71,35.99,0
2.64,3.59,0.5,2.64,50.75,0
2.77,3.71,0.58,2.77,22.44,0
2.74,3.71,0.59,2.74,32.08,0
2.84,3.71,0.55,2.84,23.02,0
2.96,3.71,0.51,2.96,5.81,0
3.07,3.71,0.49,3.07,5.18,0
3.13,3.71,0.49,3.13,0.0,0
3.09,3.71,0.47,3.09,6.38,0
3.09,3.71,0.47,3.09,3.1,0
3.22,3.71,0.3,3.22,6.07,0
3.2,3.71,0.33,3.2,16.27,0
3.09,3.45,0.32,3.09,5.4,0
3.26,4.28,0.42,3.26,62.74,0
3.18,4.28,0.53,3.18,48.13,0
3.28,4.28,0.62,3.28,92.79,0
3.21,4.28,0.63,3.21,34.35,0
3.28,4.28,0.69,3.28,45.91,1
3.21,4.28,0.72,3.21,37.56,1
3.23,4.28,0.72,3.23,30.08,1
3.18,4.28,0.73,3.18,15.32,1
3.13,4.28,0.78,3.13,20.57,1
3.18,4.28,0.76,3.18,39.29,1
3.14,4.28,0.71,3.14,26.28,1
